COURSE,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg,fw_width,fw_diff,rgh_diff,non_rgh_diff,miss_fw_pen_frac,adj_gir,less_150_sg,greater_150_sg,arg_fairway_sg,arg_rough_sg,arg_bunker_sg,less_5_ft_sg,greater_5_less_15_sg,greater_15_sg,adj_penalties,adj_ob
Sherwood Country Club,72,6986,464,192,-2.11,0.05,-0.04,-0.4,276.3,17.5,0.7204,0.017,0.021,0.007,-0.034,35.9,undefined,undefined,undefined,0.0632,0.6761,0.029,0,0.034,0.008,0.008,0.008,0.041,0.012,undefined,undefined
Silverado Resort and Spa (North Course),72,7091,452,191,-0.94,0.09,0,-0.33,286.4,21.2,0.518,-0.002,-0.013,-0.004,-0.008,26.7,undefined,undefined,undefined,0.0175,0.6825,-0.001,-0.007,-0.021,-0.013,0.006,-0.001,-0.005,-0.003,undefined,undefined
Southern Hills Country Club,70,7418,471,213,2.65,0.24,0.17,-0.15,299.5,21,0.6198,-0.009,-0.034,-0.036,0.032,44.2,undefined,undefined,undefined,0.0388,0.5363,-0.052,-0.027,-0.041,-0.04,-0.029,-0.005,-0.027,0,undefined,undefined
St. Andrews Links (Old Course),72,7247,430,184,-0.29,0.16,0,-0.33,302.7,25.5,0.6402,0.003,-0.115,-0.057,0.07,71.9,undefined,undefined,undefined,0.0297,0.7752,-0.066,-0.047,-0.108,-0.004,-0.348,-0.003,0.061,-0.027,undefined,undefined
St. George's G&amp;CC,70,7006,464,196,0.3,0.04,0.11,-0.34,293.2,18.9,0.6188,-0.007,-0.019,-0.011,0.019,31.3,undefined,undefined,undefined,0.0162,0.6171,-0.017,-0.009,0.012,-0.033,-0.074,-0.004,-0.024,0.004,undefined,undefined
TPC Boston,71,7144,454,197,0.1,0.11,0.03,-0.24,283.2,15.3,0.6299,0.001,-0.013,-0.005,0.012,35.9,undefined,undefined,undefined,0.0195,0.635,-0.009,-0.004,-0.022,-0.018,-0.016,0,0.002,0.002,undefined,undefined
TPC Craig Ranch,72,7250,465,190,-2.76,0.01,-0.08,-0.51,293.7,16.4,0.6408,0.009,0.047,0.046,0.032,38.5,undefined,undefined,undefined,0.0268,0.7074,0.02,0.058,0.046,0.06,0.032,0.003,0.013,0.019,undefined,undefined
TPC Craig Ranch (Par 71),71,7257,463,195,-2.53,-0.01,-0.08,-0.54,296.2,16.2,0.6156,0.018,0.057,0.062,0.047,37.1,undefined,undefined,undefined,0.03,0.7014,0.061,0.062,0.057,0.087,0.004,0.004,0.035,0.027,undefined,undefined
TPC Deere Run,71,7119,455,186,-1.76,-0.04,-0.04,-0.37,290.2,18.2,0.6962,0.011,-0.006,0.027,0.047,38.4,undefined,undefined,undefined,0.0252,0.7217,0.028,0.027,-0.022,-0.005,0.027,0.004,0.02,0.014,undefined,undefined
TPC Four Seasons Resort,70,6978,446,183,-0.01,0.02,0.06,-0.4,284.9,17.9,0.5711,0,-0.006,0.016,-0.014,30.2,undefined,undefined,undefined,0.0608,0.6267,0.001,0.025,-0.026,0.026,0.035,-0.005,-0.001,0.011,undefined,undefined
TPC Harding Park,70,7180,457,197,1.03,0.12,0.11,-0.38,288.2,19.5,0.5001,0.009,-0.014,-0.004,-0.009,28.7,undefined,undefined,undefined,0.0126,0.5909,-0.03,0.007,0.004,-0.048,-0.019,0.005,0.032,-0.002,undefined,undefined
TPC Louisiana,72,7293,463,203,-1.62,0.06,-0.05,-0.35,275.4,16,0.69,0.009,0.015,0.054,0.002,34.7,undefined,undefined,undefined,0.0515,0.7041,0.043,0.06,0.007,0.082,0.015,0,0.021,0.015,undefined,undefined
TPC Potomac at Avenel Farm,70,7069,451,190,0.93,0.07,0.08,-0.13,280.7,18.1,0.5972,0.003,-0.014,0,-0.038,31.4,undefined,undefined,undefined,0.0676,0.614,0.01,-0.003,0.024,-0.029,-0.061,0.003,0.005,0.004,undefined,undefined
TPC River Highlands,70,6800,432,188,-0.48,0.02,0,-0.28,284.4,18.9,0.6481,0.002,-0.054,0.014,-0.003,37.6,undefined,undefined,undefined,0.0796,0.6885,0.006,0.02,-0.064,-0.047,-0.03,0.001,0.001,0.004,undefined,undefined
TPC San Antonio (Oaks Course),72,7313,469,188,0.38,0.06,0.09,-0.2,290,19,0.5619,-0.002,-0.003,-0.027,-0.019,31.3,undefined,undefined,undefined,0.023,0.5971,-0.038,-0.02,-0.008,0.052,-0.049,0.001,0.004,-0.013,undefined,undefined
TPC Sawgrass (THE PLAYERS Stadium Course),72,7121,459,178,0.78,0.15,0.14,-0.3,280.8,18.5,0.6003,-0.005,-0.033,-0.044,-0.043,30.7,undefined,undefined,undefined,0.058,0.6273,-0.068,-0.03,-0.031,-0.048,-0.038,0,-0.004,-0.016,undefined,undefined
TPC Scottsdale (Stadium Course),71,7274,467,183,-0.24,0.05,0.06,-0.35,300,17.9,0.5591,0.007,-0.009,-0.003,0.019,31.5,undefined,undefined,undefined,0.0805,0.6543,-0.008,-0.001,-0.019,0.032,-0.02,0.003,0.011,0.011,undefined,undefined
TPC Southwind,70,7088,456,175,0.17,0.04,0.07,-0.4,289.7,17.4,0.5629,0.007,0.004,-0.008,-0.002,29.2,undefined,undefined,undefined,0.0426,0.6025,0.006,-0.015,0.001,-0.006,0.027,0.003,0.016,0.007,undefined,undefined
TPC Summerlin,71,7074,451,190,-1.44,0.05,-0.03,-0.44,298.5,19.5,0.6104,0.007,-0.049,0.014,0.052,34.3,undefined,undefined,undefined,0.0192,0.7212,0.004,0.021,-0.057,-0.034,-0.043,0.002,0.013,0.011,undefined,undefined
TPC Twin Cities,71,7213,462,191,-1.13,0,-0.01,-0.34,292.5,16.6,0.6392,0.013,0.012,0.024,0.011,35.4,undefined,undefined,undefined,0.0763,0.7218,0.034,0.019,0.024,0.01,-0.034,0.004,0.013,0.027,undefined,undefined
The Concession Golf Club,72,7327,465,204,0.22,0.15,0.07,-0.28,285.8,18,0.6994,0.001,-0.03,-0.002,-0.029,50.3,undefined,undefined,undefined,0.1041,0.6333,-0.02,0.006,-0.072,0.067,0,0.007,0.006,-0.013,undefined,undefined
The Country Club of Jackson,72,7204,461,186,-1.35,0.01,-0.02,-0.29,286.7,17.8,0.5476,0.001,0.017,0.013,-0.001,29.1,undefined,undefined,undefined,0.019,0.6982,0.025,0.005,0.002,0.027,0.05,-0.001,-0.003,0.006,undefined,undefined
The Los Angeles Country Club (North Course),70,7335,482,213,1.91,0.17,0.15,-0.17,294.7,19.7,0.662,-0.014,-0.019,0.023,0.043,43,undefined,undefined,undefined,0.0097,0.6073,-0.031,0.05,-0.018,-0.046,-0.109,-0.002,-0.027,-0.024,undefined,undefined
The Old White TPC,70,7113,451,198,-0.83,0.05,-0.03,-0.34,291.1,18.8,0.6592,0.005,0.008,0.044,0.029,36.6,undefined,undefined,undefined,0.0461,0.6983,0.034,0.052,0.031,-0.006,-0.025,0.004,0.002,0.008,undefined,undefined
The Renaissance Club,70,7077,477,177,0.82,0.11,0.11,-0.27,294.1,20.4,0.5127,-0.015,0.082,-0.021,-0.015,32.3,undefined,undefined,undefined,0.0063,0.6202,-0.036,-0.014,0.072,0.109,-0.008,-0.021,-0.026,0.004,undefined,undefined
The Riviera Country Club,71,7243,463,190,0.67,0.1,0.14,-0.41,286.5,20,0.5153,-0.018,0.009,0.008,-0.028,34.2,undefined,undefined,undefined,0.0064,0.5555,-0.007,0.013,0.002,0.05,-0.062,-0.012,-0.036,-0.012,undefined,undefined
The Summit Club,72,7359,474,181,-3.05,-0.03,-0.09,-0.52,298.4,19.8,0.6491,0,0.048,0.085,0.056,37,undefined,undefined,undefined,0.0543,0.7235,0.09,0.082,0.054,0.084,-0.009,0,-0.003,0.004,undefined,undefined
Torrey Pines Golf Course (South Course),72,7577,486,194,1.21,0.1,0.18,-0.24,288.8,15.8,0.5283,-0.02,0.005,0.001,-0.024,26.5,undefined,undefined,undefined,0.0167,0.6096,-0.007,0.005,0.024,-0.009,-0.001,-0.013,-0.046,-0.009,undefined,undefined
Torrey Pines South (U.S. Open),71,7635,490,194,2.57,0.18,0.2,-0.12,300.8,17.8,0.487,-0.014,-0.02,-0.027,-0.003,28.9,undefined,undefined,undefined,0.0111,0.5615,-0.049,-0.017,0.005,-0.034,-0.021,-0.005,-0.025,-0.019,undefined,undefined
Trinity Forest Golf Club,71,7120,457,178,-1.8,-0.02,-0.02,-0.49,287.3,18.4,0.816,-0.003,-0.008,0.042,0.059,59.9,undefined,undefined,undefined,0.0427,0.7615,0.027,0.048,-0.012,0.026,-0.023,-0.003,-0.011,0.005,undefined,undefined
Trump National Doral,72,7469,477,198,1.89,0.19,0.18,-0.17,285,19,0.5198,0.009,-0.009,-0.054,-0.046,35.9,undefined,undefined,undefined,0.0578,0.5948,-0.041,-0.06,0.018,-0.029,-0.006,0.007,0.015,0.006,undefined,undefined
Vidanta Vallarta,71,7323,495,181,-1.26,0.04,0.02,-0.42,299.8,17.5,0.6333,0.003,0.063,0.024,0.035,40.9,undefined,undefined,undefined,0.0624,0.6756,0.054,0.016,0.036,0.107,0.02,-0.001,0,0.013,undefined,undefined
Waialae Country Club,70,7022,449,185,-1.24,0.03,-0.01,-0.65,291,21.1,0.5654,0.003,0.036,0.038,0.014,34.8,undefined,undefined,undefined,0.0363,0.6958,0.049,0.032,0.034,0.026,0.042,0,0.005,0.006,undefined,undefined
Whistling Straits,72,7313,467,192,1.03,0.12,0.16,-0.26,283.7,17.5,0.5997,0.009,-0.074,-0.028,0.006,29.6,undefined,undefined,undefined,0.0196,0.6018,-0.075,0.002,-0.018,-0.074,-0.241,0.005,0.034,-0.007,undefined,undefined
Wilmington Country Club,71,7424,475,194,0.17,0.1,0.03,-0.19,303.3,21.4,0.4477,0.007,0.002,-0.002,0.019,27.8,undefined,undefined,undefined,0,0.6523,-0.015,0.009,-0.009,-0.024,0.05,-0.001,0.03,0.001,undefined,undefined
Winged Foot GC,70,7392,470,204,4.45,0.29,0.29,-0.11,288.6,23,0.4631,-0.029,-0.072,-0.016,-0.069,31.9,undefined,undefined,undefined,0.0032,0.5063,-0.008,-0.018,-0.049,-0.115,-0.022,-0.015,-0.024,-0.058,undefined,undefined
